,vol_requests,event_time,hits,is_priority,category_id,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,postalcode,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,status,Latitude,Longitude,Census Tract,BIN,BBL,NTA
0,50,0,737,,,,,Center For NYC Neighborhoods,4426,1,,NY,,,/opportunities/4996,onetime,0,January 13 2011,June 23 2011,approved,,,,,,
1,2,0,22,,1.0,,,Bpeace,37026,1,"5 22nd St
New York, NY 10010
(40.74053152272978, -73.98923530081726)",NY,10010.0,,/opportunities/5008,onetime,0,January 14 2011,January 25 2011,approved,,,,,,
2,20,0,62,,1.0,,,Street Project,3001,1,,NY,10026.0,,/opportunities/5016,onetime,0,January 19 2011,January 21 2011,approved,,,,,,
3,500,0,14,,1.0,,,Oxfam America,2170,1,,NY,2114.0,,/opportunities/5022,ongoing,0,January 21 2011,January 25 2011,approved,,,,,,
4,15,0,31,,4.0,,,Office of Recycling Outreach and Education,36773,1,,NY,10455.0,,/opportunities/5055,onetime,0,January 28 2011,February 01 2011,approved,,,,,,
5,15,0,135,,4.0,,,Office of Recycling Outreach and Education,36773,1,,NY,11372.0,,/opportunities/5056,onetime,0,January 28 2011,January 28 2011,approved,,,,,,
6,2,0,156,,1.0,,,The Jewish Museum,37348,1,"1109 Fifth Avenue
New York, NY 10128
(40.78553359707598, -73.95746225352207)",NY,10128.0,,/opportunities/5053,ongoing,0,January 27 2011,January 28 2011,approved,,,,,,
7,20,0,4407,y,2.0,,,"Brooklyn Bar Association Volunteer Lawyers Project, Inc.",3784,1,,NY,11201.0,,/opportunities/5085,ongoing,0,February 07 2011,August 11 2011,approved,,,,,,
8,100,0,325,,,,,"Cents Ability, Inc.",37154,1,,NY,10020.0,,/opportunities/5091,ongoing,0,February 09 2011,February 09 2011,approved,,,,,,
9,1,0,928,,5.0,,,Community Service Society of New York,37737,1,,NY,10010.0,,/opportunities/5093,ongoing,0,February 09 2011,February 11 2011,approved,,,,,,
10,8,0,491,,1.0,,,New York City Department of Parks & Recreation,3706,1,,NY,11415.0,,/opportunities/5108,ongoing,0,February 14 2011,February 14 2011,approved,,,,,,
11,15,0,332,,3.0,,,WorldofMoney.org,3155,1,,NY,10036.0,,/opportunities/5118,ongoing,0,February 18 2011,February 22 2011,approved,,,,,,
12,4,0,276,,1.0,,,WorldofMoney.org,3155,1,,NY,10036.0,,/opportunities/5119,ongoing,0,February 18 2011,February 22 2011,approved,,,,,,
13,25,0,465,,3.0,,,JBFCS,1891,1,,NY,10004.0,,/opportunities/5121,ongoing,0,February 18 2011,March 30 2011,approved,,,,,,
14,1,0,119,,2.0,,,Institute For Human Identity,3350,1,,NY,10001.0,,/opportunities/5137,ongoing,0,February 24 2011,July 13 2011,approved,,,,,,
15,1,0,236,,1.0,,,Institute For Human Identity,3350,1,,NY,10001.0,,/opportunities/5138,ongoing,0,February 24 2011,February 24 2011,approved,,,,,,
16,25,0,3334,y,2.0,,,TimeBanksNYC,36902,1,,NY,10003.0,,/opportunities/5150,onetime,0,March 01 2011,May 16 2011,approved,,,,,,
17,250,0,266,,1.0,,,Where To Turn,2879,1,,NY,10314.0,,/opportunities/5156,ongoing,0,March 04 2011,March 04 2011,approved,,,,,,
18,10,0,834,,2.0,,,"Services Now for Adult Persons, Inc.",37227,1,,NY,11427.0,,/opportunities/5174,ongoing,0,March 09 2011,March 09 2011,approved,,,,,,
19,4,0,653,,1.0,,,Rubin Museum Of Art,3104,1,"150 17th Street
New York, NY 10011
(40.74018978035866, -73.99762597535062)",NY,10011.0,,/opportunities/5175,ongoing,0,March 09 2011,March 09 2011,approved,,,,,,
20,30,0,32,,4.0,,,MillionTreesNYC,1671,1,,NY,11355.0,,/opportunities/5179,onetime,0,March 10 2011,March 11 2011,approved,,,,,,
21,30,0,165,,4.0,,,MillionTreesNYC,1671,1,,NY,11103.0,,/opportunities/5180,onetime,0,March 10 2011,March 11 2011,approved,,,,,,
22,2,0,583,,5.0,,,Metropolitan Council on Jewish Poverty,974,1,"80 Maiden Lane
New York, NY 10038
(40.70722063476455, -74.00745556513084)",NY,10038.0,,/opportunities/5177,ongoing,0,March 10 2011,March 11 2011,approved,,,,,,
23,20,0,1103,,5.0,,,Queens County Farm Museum,4459,1,"73 50 Little Neck Parkway
Floral Park, NY 11004
(40.74323783435864, -73.71201500019208)",NY,11004.0,,/opportunities/5198,ongoing,0,March 15 2011,March 15 2011,approved,,,,,,
24,1,0,239,,1.0,,,"Dorchester Senior Citizens Center, Inc.",3449,1,,NY,11226.0,,/opportunities/5210,ongoing,0,March 17 2011,March 18 2011,approved,,,,,,
25,4,0,411,,,,,"Dorchester Senior Citizens Center, Inc.",3449,1,,NY,11226.0,,/opportunities/5211,ongoing,0,March 17 2011,March 18 2011,approved,,,,,,
26,2,0,229,,,,,"Dorchester Senior Citizens Center, Inc.",3449,1,,NY,11226.0,,/opportunities/5212,ongoing,0,March 17 2011,March 18 2011,approved,,,,,,
27,70,0,274,,5.0,,,Bellevue Hospital,264,1,,NY,10016.0,,/opportunities/5238,onetime,0,March 30 2011,March 31 2011,approved,,,,,,
28,5,0,176,,,,,Hearts and Minds,39195,1,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764)",NY,10025.0,,/opportunities/5292,ongoing,0,April 14 2011,April 18 2011,approved,,,,,,
29,20,0,59,,4.0,,,Office of Recycling Outreach and Education,36773,1,,NY,11231.0,,/opportunities/5319,onetime,0,April 22 2011,May 02 2011,approved,,,,,,
30,50,0,1054,y,1.0,,,Cool Culture,1028,1,,NY,11368.0,,/opportunities/5329,onetime,0,April 27 2011,April 29 2011,approved,,,,,,
31,5,0,873,,1.0,,,Brooklyn Community Services,39558,1,"285 Schermerhorn Street
Brooklyn, NY 11217
(40.687790343385544, -73.98292053949278)",NY,11217.0,,/opportunities/5326,ongoing,0,April 27 2011,April 29 2011,approved,,,,,,
32,50,0,176,,1.0,,,Hope & Heroes Children's Cancer Fund,39591,1,,NY,10025.0,,/opportunities/5332,onetime,0,April 27 2011,April 29 2011,approved,,,,,,
33,500,0,1522,y,5.0,,,New York City Department of Health and Mental Hygiene,39269,1,,NY,11101.0,,/opportunities/5339,ongoing,0,May 04 2011,June 30 2011,approved,,,,,,
34,15,0,61,,1.0,,,"Groundwork, Inc.",2215,1,,NY,11207.0,,/opportunities/5350,onetime,0,May 10 2011,May 12 2011,approved,,,,,,
35,20,0,215,,4.0,,,Office of Recycling Outreach and Education,36773,1,,NY,10007.0,,/opportunities/5361,onetime,0,May 13 2011,May 16 2011,approved,,,,,,
36,25,0,582,,2.0,,,Samaritans of New York,376,1,,NY,10003.0,,/opportunities/5363,ongoing,0,May 16 2011,September 26 2011,approved,,,,,,
37,10,0,112,,1.0,,,Heart Gallery NYC,1193,1,,NY,11217.0,,/opportunities/5384,ongoing,0,May 24 2011,May 25 2011,approved,,,,,,
38,5,0,38,,2.0,,,Metropolitan Council on Jewish Poverty,974,1,,NY,11219.0,,/opportunities/5388,ongoing,0,May 27 2011,June 02 2011,approved,,,,,,
39,20,0,566,,2.0,,,Rebuilding Together NYC,1486,1,,NY,10163.0,,/opportunities/5397,ongoing,0,June 01 2011,June 02 2011,approved,,,,,,
40,20,0,355,,4.0,,,New York City Department of Parks & Recreation,3706,1,,NY,10065.0,,/opportunities/5400,onetime,0,June 01 2011,June 02 2011,approved,,,,,,
41,10,0,101,,1.0,,,Office of Recycling Outreach and Education,36773,1,,NY,11693.0,,/opportunities/5459,onetime,0,June 07 2011,June 07 2011,approved,,,,,,
42,500,0,4662,y,1.0,,,NYC Service,3747,1,,NY,10007.0,,/opportunities/5462,ongoing,0,June 09 2011,June 15 2011,approved,,,,,,
43,15,0,100,,3.0,,,MASA-MexEd Inc.,41185,1,,NY,10454.0,,/opportunities/5466,ongoing,0,June 11 2011,September 21 2011,approved,,,,,,
44,10,0,54,y,2.0,,,Metropolitan Council on Jewish Poverty,974,1,,NY,10016.0,,/opportunities/5475,onetime,0,June 16 2011,June 17 2011,approved,,,,,,
45,20,0,526,,4.0,,,Office of Recycling Outreach and Education,36773,1,,NY,10007.0,,/opportunities/5478,onetime,0,June 21 2011,September 23 2011,approved,,,,,,
46,3,0,439,,3.0,,,SMART Recovery NYC ,583,1,,NY,10021.0,,/opportunities/5484,ongoing,0,June 22 2011,August 19 2011,approved,,,,,,
